Type                                  Module                      Label             Process     
------------------------------------------------------------------------------------------------
BXVector<l1t::CaloTower>              "caloStage2Digis"           "CaloTower"       "fullsim"   
BXVector<l1t::EGamma>                 "caloStage2Digis"           "EGamma"          "fullsim"   
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma"          "fullsim"   
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma2"         "fullsim"   
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma3"         "fullsim"   
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma4"         "fullsim"   
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma5"         "fullsim"   
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma6"         "fullsim"   
BXVector<l1t::EGamma>                 "caloStage2Digis"           "MP"              "fullsim"   
BXVector<l1t::EtSum>                  "caloStage2Digis"           "EtSum"           "fullsim"   
BXVector<l1t::EtSum>                  "caloStage2Digis"           "MP"              "fullsim"   
BXVector<l1t::Jet>                    "caloStage2Digis"           "Jet"             "fullsim"   
BXVector<l1t::Jet>                    "caloStage2Digis"           "MP"              "fullsim"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "Muon"            "fullsim"   
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon"            "fullsim"   
BXVector<l1t::RegionalMuonCand>       "gmtStage2Digis"            "BMTF"            "fullsim"   
BXVector<l1t::RegionalMuonCand>       "gmtStage2Digis"            "EMTF"            "fullsim"   
BXVector<l1t::RegionalMuonCand>       "gmtStage2Digis"            "OMTF"            "fullsim"   
BXVector<l1t::RegionalMuonShower>     "gmtStage2Digis"            "EMTF"            "fullsim"   
BXVector<l1t::Tau>                    "caloStage2Digis"           "MP"              "fullsim"   
BXVector<l1t::Tau>                    "caloStage2Digis"           "Tau"             "fullsim"   
EBDigiCollection                      "selectDigi"                "selectedEcalEBDigiCollection"   "fullsim"   
EEDigiCollection                      "selectDigi"                "selectedEcalEEDigiCollection"   "fullsim"   
ROOT::Math::PositionVector3D<ROOT::Math::Cartesian3D<float>,ROOT::Math::DefaultCoordinateSystemTag>    "genParticles"              "xyz0"            "fullsim"   
edm::Association<vector<reco::Track> >    "lowPtGsfToTrackLinks"      ""                "fullsim"   
edm::Association<vector<reco::TrackExtra> >    "displacedMuonReducedTrackExtras"   ""                "fullsim"   
edm::Association<vector<reco::TrackExtra> >    "muonReducedTrackExtras"    ""                "fullsim"   
edm::Association<vector<reco::Vertex> >    "offlinePrimaryVertices"    ""                "fullsim"   
edm::Association<vector<reco::Vertex> >    "offlinePrimaryVerticesWithBS"   ""                "fullsim"   
edm::AssociationMap<edm::OneToOne<vector<Trajectory>,vector<reco::GsfTrack>,unsigned short> >    "electronGsfTracks"         ""                "fullsim"   
edm::AssociationMap<edm::OneToOne<vector<Trajectory>,vector<reco::GsfTrack>,unsigned short> >    "lowPtGsfEleGsfTracks"      ""                "fullsim"   
edm::AssociationMap<edm::OneToOne<vector<reco::SuperCluster>,vector<reco::HFEMClusterShape>,unsigned int> >    "hfEMClusters"              ""                "fullsim"   
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "displacedStandAloneMuons"   ""                "fullsim"   
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "refittedStandAloneMuons"   ""                "fullsim"   
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "standAloneMuons"           ""                "fullsim"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "displacedGlobalMuons"      ""                "fullsim"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "displacedMuonReducedTrackExtras"   ""                "fullsim"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "displacedStandAloneMuons"   ""                "fullsim"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "displacedTracks"           ""                "fullsim"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "electronGsfTracks"         ""                "fullsim"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "generalTracks"             ""                "fullsim"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "globalMuons"               ""                "fullsim"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "lowPtGsfEleGsfTracks"      ""                "fullsim"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "muonReducedTrackExtras"    ""                "fullsim"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "refittedStandAloneMuons"   ""                "fullsim"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "standAloneMuons"           ""                "fullsim"   
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEcalRecHitsEB"      ""                "fullsim"   
edm::TriggerResults                   "TriggerResults"            ""                "fullsim"   
edm::ValueMap<bool>                   "chargedHadronPFTrackIsolation"   ""                "fullsim"   
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDLoose"   "fullsim"   
edm::ValueMap<bool>                   "PhotonIDProdGED"           "PhotonCutBasedIDLoose"   "fullsim"   
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDLooseEM"   "fullsim"   
edm::ValueMap<bool>                   "PhotonIDProdGED"           "PhotonCutBasedIDLooseEM"   "fullsim"   
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDTight"   "fullsim"   
edm::ValueMap<bool>                   "PhotonIDProdGED"           "PhotonCutBasedIDTight"   "fullsim"   
edm::ValueMap<bool>                   "muons"                     "muidAllArbitrated"   "fullsim"   
edm::ValueMap<bool>                   "muons"                     "muidGMStaChiCompatibility"   "fullsim"   
edm::ValueMap<bool>                   "muons"                     "muidGMTkChiCompatibility"   "fullsim"   
edm::ValueMap<bool>                   "muons"                     "muidGMTkKinkTight"   "fullsim"   
edm::ValueMap<bool>                   "muons"                     "muidGlobalMuonPromptTight"   "fullsim"   
edm::ValueMap<bool>                   "muons"                     "muidRPCMuLoose"   "fullsim"   
edm::ValueMap<bool>                   "muons"                     "muidTM2DCompatibilityLoose"   "fullsim"   
edm::ValueMap<bool>                   "muons"                     "muidTM2DCompatibilityTight"   "fullsim"   
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationAngLoose"   "fullsim"   
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationAngTight"   "fullsim"   
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationLoose"   "fullsim"   
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationOptimizedLowPtLoose"   "fullsim"   
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationOptimizedLowPtTight"   "fullsim"   
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationTight"   "fullsim"   
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationAngLoose"   "fullsim"   
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationAngTight"   "fullsim"   
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationLoose"   "fullsim"   
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationTight"   "fullsim"   
edm::ValueMap<bool>                   "muons"                     "muidTrackerMuonArbitrated"   "fullsim"   
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFIsoValueCharged03"   "fullsim"   
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFIsoValueCharged04"   "fullsim"   
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFIsoValueChargedAll03"   "fullsim"   
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFIsoValueChargedAll04"   "fullsim"   
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFIsoValueGamma03"   "fullsim"   
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFIsoValueGamma04"   "fullsim"   
